"08121: Balance sheet for non-financial limited companies, by year, contents and industry (SIC2007)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
,,"Agriculture, forestry and fishing",All industries,Mining and quarrying,Manufacturing,"Electricity, gas and steam","Water supply, sewerage, waste",Construction,Wholesale and retail trade: repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Portfolio investment,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Unspecified
,Investments (NOK million),4394,325137,73483,12148,6715,218,12248,33477,33444,1113,6003,..,100762,25750,5557,392,3594,776,2196,2868
,Cash and bank deposits etc (NOK million),23285,696627,74070,73483,27456,3391,66612,72977,68286,8250,52501,..,118523,53551,22871,2545,13526,8218,2738,4345
,Total assets (NOK million),241158,11495701,2353277,1390128,725844,38809,665874,932521,1045451,84303,755047,..,2268233,457662,354269,11392,79830,32958,19472,39474
,Equity (NOK million),104457,5066003,797191,707409,336983,12965,256999,438977,412962,30836,367127,..,1146798,233299,138244,4520,30048,10688,10271,26229
,Invested equity (NOK million),46627,3201467,473128,438667,255101,8083,147090,220287,285387,20296,281708,..,677656,186153,113064,2071,10759,9772,7113,18505
,Share capital (NOK million),11790,774007,126123,104901,93622,2670,35311,57339,87311,8954,38785,..,135876,40219,19893,775,2851,2952,1849,2787
,Share premium reserve (NOK million),27980,1993551,302572,266987,146952,4246,91678,129825,166439,6785,175741,..,440856,124162,77212,1082,5342,6324,4286,15082
,Retained earnings (NOK million),57831,1864536,324063,268742,81882,4883,109909,218690,127575,10540,85419,..,469142,47145,25181,2449,19289,916,3158,7723
,Liabilities (NOK million),136701,6429698,1556086,682719,388861,25844,408876,493544,632489,53467,387920,..,1121436,224363,216025,6872,49782,22270,9201,13245
,Provisions (NOK million),9436,539028,376025,29224,21398,1204,10245,12015,26268,2101,9346,..,31697,3015,5426,89,941,376,177,47
,Other long-term liabilities (NOK million),71749,3217718,713514,205443,236233,16764,178100,124799,418688,27031,124569,..,827070,91445,129788,2895,28476,9188,3966,8003
,Liabilities to financial institutions (NOK million),43076,1219986,47918,57791,68632,10792,96748,40696,235315,13654,26072,..,491590,20315,42075,1305,14822,4767,2379,2038
,Long-term liabilities to group companies (NOK million),9263,1112406,374885,96407,82017,4158,50106,60587,82177,8198,34233,..,205678,44893,42895,866,9136,2089,1017,3800
,Short-term liabilities (NOK million),55516,2672952,466548,448052,131230,7876,220532,356730,187533,24335,254005,..,262668,129904,80811,3888,20365,12706,5058,5195
,Trade creditors (NOK million),8218,413475,47611,72916,9240,2144,48187,123709,27894,4914,21542,..,12749,18676,10922,529,1950,1309,766,200
,Short-term liabilities to group companies (NOK million),20890,975356,200769,201693,52410,2124,40918,79953,58059,7027,100614,..,125595,47182,27478,778,5962,1601,904,1401
,Total equity and liabilities (NOK million),241158,11495701,2353277,1390128,725844,38809,665874,932521,1045451,84303,755047,..,2268233,457662,354269,11392,79830,32958,19472,39474
,Number of enterprises,3996,263241,1191,12250,1434,749,38509,41527,9321,8757,12879,..,63382,33127,11726,3473,8590,4180,4205,3945
2017,Fixed assets (NOK million),163147,8936630,2072204,947320,648057,29113,347859,470231,852737,63653,637454,..,2043914,284161,249869,8171,61184,22762,14383,20412
,Intangible fixed assets (NOK million),33110,359664,91103,25741,27451,978,6579,23688,62399,2057,49342,..,11951,14163,6015,296,2796,1372,400,223
,Tangible fixed assets (NOK million),51942,2885581,791087,138451,225748,14328,122185,72501,375912,18307,62929,..,854781,35736,77911,3272,21988,12993,3992,1519
,Financial fixed assets (NOK million),78095,5691384,1190014,783127,394858,13807,219095,374042,414426,43290,525183,..,1177182,234262,165943,4602,36400,8397,9991,18669
,"Investments in subsidiaries, other group companies or associated companies (NOK million)",61647,4362380,937704,617501,298738,10233,153117,312900,307637,32813,430049,..,850714,177530,118965,3498,27133,5374,5940,10888
,"Loans to group companies, associated companies and joint ventures (NOK million)",10513,964980,248691,141526,56955,2825,39760,40790,66666,7982,75156,..,199814,32549,28111,556,5851,1683,2114,3438
,Current assets (NOK million),101031,3369446,484967,489188,145532,11510,365341,500170,230563,29095,201822,..,464284,176551,92231,5504,33840,15272,9049,13495
,Inventories (NOK million),27392,444777,36383,82527,1367,810,98500,145387,5626,1584,5395,..,27421,7885,1799,134,630,458,751,728
,Debitors (NOK million),41734,1830249,307008,316842,95877,7039,179247,239375,118609,17460,145837,..,184806,86724,61222,2136,15416,4444,2297,4175
,Accounts receivables (NOK million),14523,648163,91086,115654,21334,3992,108178,116257,43661,3603,39696,..,17650,43797,22192,905,3242,1193,994,207
,Investments (NOK million),7264,356665,60152,8957,11388,194,16641,38299,36632,1321,8290,..,123118,26419,6077,495,4690,1024,2998,2706
,Cash and bank deposits etc (NOK million),24641,737755,81424,80861,36899,3468,70953,77110,69696,8730,42299,..,128939,55523,23133,2739,13104,9347,3003,5886
,Total assets (NOK million),264178,12306076,2557171,1436507,793589,40623,713200,970401,1083300,92748,839276,..,2508198,460712,342100,13675,95023,38034,23432,33907
,Equity (NOK million),123741,5607981,990005,715826,369823,14582,263856,469324,448172,33706,411768,..,1281742,250595,141982,5737,39138,13704,12385,21897
,Invested equity (NOK million),53426,3397263,549053,427797,270988,8563,140602,226052,310467,23750,283284,..,744045,197553,110116,3000,16324,11946,8003,12294
,Share capital (NOK million),12360,757902,110654,102393,93211,3046,35858,56994,89139,9172,36981,..,137298,38870,19704,827,3238,4103,1917,2135
,Share premium reserve (NOK million),34346,2135994,379048,252342,163172,4205,82574,135711,185336,8540,159538,..,495984,128181,74658,1943,8656,7220,5118,9422
,Retained earnings (NOK million),70315,2210717,440952,288029,98835,6018,123254,243272,137705,9956,128484,..,537697,53042,31866,2737,22814,1758,4381,9603
,Liabilities (NOK million),140437,6698095,1567166,720682,423765,26042,449345,501077,635129,59042,427508,..,1226456,210118,200118,7938,55885,24330,11048,12010
,Provisions (NOK million),10333,592183,421920,29581,23044,1185,10369,11717,27746,1897,10054,..,34398,2981,4849,92,1281,462,191,83
,Other long-term liabilities (NOK million),74245,3283012,622437,236597,252081,16048,190753,119880,415529,30114,161149,..,899453,89818,117807,3787,32249,9471,5045,6548
,Liabilities to financial institutions (NOK million),47455,1281913,45755,55537,78714,10972,110296,38568,230560,13282,25953,..,520478,29927,46284,2151,14986,5273,3949,1772
,Long-term liabilities to group companies (NOK million),10123,1125151,330355,111490,78530,4172,48264,59734,84429,7608,77379,..,225051,33547,40146,963,7879,1834,585,3064
,Short-term liabilities (NOK million),55859,2822900,522809,454504,148640,8809,248223,369480,191854,27031,256304,..,292605,117318,77463,4059,22355,14397,5811,5378
,Trade creditors (NOK million),9142,442919,54600,76694,10952,2474,54832,124789,30636,4897,22934,..,14752,19660,11487,666,2102,1371,794,137
,Short-term liabilities to group companies (NOK million),21382,996501,214898,207664,60855,2056,46347,77719,57550,8381,91932,..,138582,30415,25106,802,7609,2351,998,1851
,Total equity and liabilities (NOK million),264178,12306076,2557171,1436507,793589,40623,713200,970401,1083300,92748,839276,..,2508198,460712,342100,13675,95023,38034,23432,33907
,Number of enterprises,4349,275605,1222,12436,1461,779,40627,42076,9568,9151,13960,..,66432,34970,12282,3768,9064,4536,4516,4408
2018,Fixed assets (NOK million),193417,9566249,2147987,957149,706332,26785,397983,497125,863311,73516,647540,..,2162787,309251,275856,8072,66990,26411,16494,189245
,Intangible fixed assets (NOK million),39070,319281,86527,27582,27465,809,7532,26833,12603,2076,50173,..,11996,15075,5612,317,3328,1374,420,490
,Tangible fixed assets (NOK million),60992,3024690,818052,150575,239119,12788,139904,84833,377334,24535,68305,..,876567,38925,80186,3427,24550,14354,5028,5217
,Financial fixed assets (NOK million),93354,6222279,1243408,778991,439749,13188,250547,385459,473374,46905,529062,..,1274224,255251,190058,4328,39112,10683,11046,183537
,"Investments in subsidiaries, other group companies or associated companies (NOK million)",74168,4788483,948299,614456,333163,10180,166435,316638,365422,35566,475230,..,927956,185710,147084,3129,27052,7497,6040,144457
,"Loans to group companies, associated companies and joint ventures (NOK million)",12191,997499,251148,138183,64800,2280,51286,46666,72067,8348,32275,..,212723,40758,30845,527,7833,1786,1959,21824
,Current assets (NOK million),111623,3573394,509947,472472,159423,12140,398463,528232,236434,38753,212913,..,472181,192804,103020,6315,36085,16716,8799,57075
,Inventories (NOK million),30439,474723,31816,92489,1930,898,105888,152513,5825,1725,4853,..,30677,8225,1857,158,651,545,766,3467
,Debitors (NOK million),46495,1929825,321407,284759,95895,7533,201044,256323,139295,20159,137025,..,195033,105095,67411,2656,16181,5131,2458,25922
,Accounts receivables (NOK million),16649,675838,86468,117258,26726,3965,117150,118133,46979,3903,39756,..,17274,49998,24616,987,3297,1286,887,504
,Investments (NOK million),6917,376708,59222,13776,16534,374,17454,40957,31365,6791,8042,..,121940,25252,6258,459,4775,1297,2433,12861
,Cash and bank deposits etc (NOK million),27771,792138,97501,81447,45063,3336,74077,78438,59948,10078,62992,..,124531,54231,27494,3042,14478,9743,3141,14826
,Total assets (NOK million),305040,13139643,2657934,1429620,865755,38924,796446,1025356,1099744,112268,860453,..,2634968,502055,378876,14387,103075,43127,25293,246320
,Equity (NOK million),147987,6201750,1063847,737180,420088,15326,289165,478546,467072,47106,491593,..,1355628,270762,165305,6341,43217,17210,12828,172550
,Invested equity (NOK million),67190,3827353,539237,439920,305120,9487,155751,227420,356500,30218,346468,..,828873,218517,128183,3735,18884,14633,8009,129207
,Share capital (NOK million),14093,774264,109734,109023,92850,2553,37387,51789,93943,10753,37679,..,133088,43302,19438,837,3332,4907,2008,7549
,Share premium reserve (NOK million),45835,2510392,367426,257442,196036,4354,93606,140366,207196,14175,239489,..,579085,139654,89056,2655,9204,8765,4976,111073
