"08120: Profit/loss statement for non-financial limited companies, by year, contents and industry (SIC2007)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
,,"Agriculture, forestry and fishing",All industries,Mining and quarrying,Manufacturing,"Electricity, gas and steam","Water supply, sewerage, waste",Construction,Wholesale and retail trade: repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Portfolio investment,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Unspecified
,Raw materials and consumables used (NOK million),19286,1826306,333488,330730,41714,5718,93900,793333,52213,11592,44541,932,11694,38979,38408,601,3958,3374,1793,52
,Payroll expence (NOK million),8402,649448,50804,115269,8593,3502,71262,117484,60920,17841,53965,915,10485,56872,39144,3108,21408,4903,4552,20
,Depreciation and write down of tangible and intangible fixed assets (NOK million),3047,191600,77962,19761,7169,1140,5939,11783,22213,1593,12714,540,12050,5747,6622,279,1368,1160,487,28
,Operating profit (NOK million),6232,419024,234894,23362,28772,618,14506,32771,9511,1210,15311,-1897,33114,8800,3967,450,3353,3495,529,28
,"Income from subsidiaries, other group entities and from associates (NOK million)",1115,95833,25841,13933,13411,75,1947,5366,6976,775,7025,5732,11107,1995,-408,139,336,103,97,268
,Interest income (NOK million),925,80253,12754,15017,5023,113,2714,5226,5809,688,10118,3854,11532,3017,2895,41,211,122,64,127
,Interest expence (NOK million),2810,141303,21871,20640,10875,380,5804,9469,11793,1196,8780,4732,29437,4619,7591,88,583,382,133,120
,Write-down of financial assets (NOK million),428,63096,-1551,16325,395,43,1976,2134,11581,1034,6273,5612,9832,4228,4626,19,30,26,5,79
,"Financial items, net (NOK million)",1248,184072,41269,28394,19428,77,647,8776,18150,-345,19698,25212,12363,6203,1092,138,155,332,259,975
,Profit before tax (NOK million),7479,603096,276163,51756,48200,695,15153,41547,27661,865,35008,23315,45477,15003,5059,588,3508,3828,787,1004
,Ekstraordinary items (NOK million),11,113,..,1114,-1,30,22,109,-95,-1,-146,4,-349,-421,-195,-5,7,25,4,1
,Tax (NOK million),2120,246315,175545,11568,15999,244,4351,11542,-2626,715,8102,1914,8985,4084,2163,129,899,277,191,114
,Net profit (NOK million),5370,358217,100618,41856,32225,481,10824,30271,30665,148,26878,21406,36142,10497,2701,454,2615,3575,600,891
,Proposed dividends (NOK million),2698,125562,40408,13792,8018,99,4713,11388,8334,564,8130,7551,8270,5162,4182,128,679,842,365,239
,Number of enterprises,2907,199665,957,10286,1120,571,21476,33015,7290,5400,7609,22850,45733,19441,8821,1505,4894,2466,2234,1090
2010,Operating income (NOK million),53865,4230889,957985,612838,132764,20387,279599,1143265,273650,51829,191006,2029,109057,170063,140012,8385,40368,30795,10561,2430
,Revenue (NOK million),51576,3975723,915728,608485,126634,20156,266889,1146143,224872,48331,178363,636,29383,161273,125065,6917,26335,27620,9977,1339
,Operating expences (NOK million),42004,3716871,676456,578757,98742,18917,265833,1105259,257849,51023,176075,2194,70630,157145,132137,7845,37123,27030,9978,1875
,Raw materials and consumables used (NOK million),18353,1971369,391376,318689,63900,7639,95124,850045,57800,12174,47382,122,10846,40433,47075,615,3815,3529,1846,605
,Payroll expence (NOK million),8334,661418,53442,114602,7908,3866,73183,120155,59162,19014,55464,457,11175,59267,40869,3762,20635,5050,4788,284
,Depreciation and write down of tangible and intangible fixed assets (NOK million),3410,190681,75074,18029,7595,1218,6003,11831,21837,1669,15308,69,12969,5088,7136,315,1418,1079,463,170
,Operating profit (NOK million),11861,514018,281529,34082,34022,1470,13766,38006,15801,806,14931,-165,38427,12918,7875,540,3245,3765,583,556
,"Income from subsidiaries, other group entities and from associates (NOK million)",2668,138559,42394,27974,18957,147,2756,7844,5983,1148,5692,2033,12379,2920,2916,104,354,161,82,2047
,Interest income (NOK million),924,73950,8280,14617,4467,120,2524,5282,6078,648,11246,1811,11216,2618,3272,52,233,168,52,340
,Interest expence (NOK million),2580,132302,14734,20932,10381,429,5844,8971,13316,1152,8471,1935,29033,4526,8347,94,574,263,143,576
,Write-down of financial assets (NOK million),414,39950,6230,1996,645,76,681,2415,9562,401,1418,1577,5478,5240,3418,31,40,34,36,257
,"Financial items, net (NOK million)",5349,227843,31682,48529,18717,184,4303,13940,335,1007,54269,19422,15371,2846,4495,144,420,690,268,5873
,Profit before tax (NOK million),17210,741861,313211,82611,52739,1655,18069,51946,16137,1813,69200,19257,53799,15764,12370,684,3665,4455,850,6428
,Ekstraordinary items (NOK million),37,-2364,0,-7,0,0,43,24,-2019,-1,9,-9,0,-449,-6,5,7,1,0,1
,Tax (NOK million),4493,283109,191621,14639,17948,400,4383,14249,4037,509,9407,1282,10137,5476,2713,156,949,290,207,213
,Net profit (NOK million),12754,456728,121589,68073,34765,1255,13720,37643,9990,1302,60237,17965,43654,9840,9651,533,2731,4165,644,6216
,Proposed dividends (NOK million),5197,145036,49827,16235,12569,160,5326,12745,5865,644,10149,4232,9844,5862,4098,153,835,215,337,744
,Number of enterprises,2773,203509,991,10897,1191,607,23683,34994,7557,5759,8053,13759,48404,20731,9476,1599,5341,2536,2399,2759
2011,Operating income (NOK million),54642,4662503,1202943,635368,116749,21927,320638,1216321,293732,55127,200308,1365,118503,176227,148626,8802,43471,34122,11309,2323
,Revenue (NOK million),52181,4320490,1087857,627757,110833,21328,306160,1211708,243534,51510,191105,402,32736,167494,137389,7451,28465,30318,10594,1671
,Operating expences (NOK million),45654,4042875,809113,609520,90930,20843,304030,1170015,283240,53515,183951,1483,74921,165105,140430,8269,39879,30110,10661,1206
,Raw materials and consumables used (NOK million),20038,2179286,516406,328486,54309,8429,103528,905739,61746,12963,54436,109,12126,40755,48938,682,4105,4206,1897,386
,Payroll expence (NOK million),9316,710366,60376,119139,9899,4167,79598,124315,63872,20130,59671,269,12029,63545,46931,4056,22253,5472,5146,181
,Depreciation and write down of tangible and intangible fixed assets (NOK million),3326,209150,85836,24986,7816,1461,5969,11664,24836,1660,12206,73,13495,5472,6695,316,1453,1145,526,216
,Operating profit (NOK million),8987,619628,393830,25848,25819,1084,16609,46307,10492,1612,16357,-118,43582,11122,8196,533,3592,4011,648,1117
,"Income from subsidiaries, other group entities and from associates (NOK million)",665,142379,67520,20419,12245,179,2993,7131,5768,808,5797,1598,13181,1767,1332,71,327,219,49,311
,Interest income (NOK million),1124,92752,10501,18011,5271,251,2913,6199,6350,782,19475,1879,13277,3144,2618,60,307,237,104,250
,Interest expence (NOK million),2908,147820,17301,24861,11303,727,6852,10864,14763,1311,10719,1408,32529,5828,4813,96,789,310,254,186
,Write-down of financial assets (NOK million),218,99086,17453,29916,1797,13,1504,3407,16019,372,3932,2332,10995,7326,3098,52,221,85,34,311
,"Financial items, net (NOK million)",4999,94834,51015,10739,5653,231,2219,12760,-17296,899,13320,6497,5424,-2678,-460,168,185,421,119,620
,Profit before tax (NOK million),13986,714462,444846,36587,31473,1315,18828,59067,-6804,2511,29677,6379,49005,8444,7736,700,3777,4432,767,1737
,Ekstraordinary items (NOK million),40,-2086,128,2,0,0,6,5,-1864,10,-24,-8,15,-405,-3,2,3,-1,0,6
,Tax (NOK million),3250,352389,267534,14440,14736,395,4504,14937,4141,514,6306,415,10710,5720,2602,163,966,297,180,579
,Net profit (NOK million),10776,358325,177440,21700,16603,921,14320,44084,-13742,2019,23348,5956,38221,2319,5126,539,2810,4134,587,1164
,Proposed dividends (NOK million),1621,188858,76841,19183,16091,219,6521,16977,5249,733,10906,4082,12895,11012,4043,217,1014,330,453,472
,Number of enterprises,2811,205500,1043,10832,1238,622,24854,35036,7605,5887,8273,11918,50685,21776,8241,1697,5535,2614,2511,2322
2012,Operating income (NOK million),54714,4844104,1221258,650931,101525,21906,370595,1255398,314604,58619,206587,..,124684,195109,160981,9505,46635,34846,12068,4138
,Revenue (NOK million),52599,4533630,1142027,642543,95070,21227,351995,1258147,263999,55151,196678,..,35520,185815,146004,8264,31476,32983,11393,2739
,Operating expences (NOK million),50047,4239898,852573,620666,77273,20319,347669,1218631,298192,57173,188394,..,82379,179201,151237,8984,42904,30357,11363,2538
,Raw materials and consumables used (NOK million),23253,2251078,531218,330345,41020,8584,118643,940334,67820,13798,55166,..,14238,42997,52154,786,4093,3792,2028,810
,Payroll expence (NOK million),9350,760325,64204,128338,10614,4246,88399,131101,66132,21897,63706,..,13072,69383,50772,4358,24402,4479,5581,291
,Depreciation and write down of tangible and intangible fixed assets (NOK million),3664,226869,100873,18833,8906,1200,6626,11990,26831,1685,11209,..,16375,7122,7629,343,1497,1167,575,343
,Operating profit (NOK million),4667,604206,368686,30266,24252,1586,22927,36768,16412,1446,18193,..,42305,15908,9743,521,3731,4489,705,1600
,"Income from subsidiaries, other group entities and from associates (NOK million)",818,168768,64209,16532,13855,158,5613,13809,5141,573,24263,..,16640,3726,2505,89,317,122,104,295
,Interest income (NOK million),1157,112636,10764,14498,3914,479,3350,6244,6451,744,42816,..,14086,4636,2395,79,333,266,150,273
,Interest expence (NOK million),3045,148453,18178,22274,10522,1008,7633,11703,15824,1301,10033,..,34111,5961,4882,118,818,325,374,345
,Write-down of financial assets (NOK million),352,72260,5829,14295,3004,57,2210,7603,8743,383,10071,..,12084,4784,1441,25,188,169,77,946
,"Financial items, net (NOK million)",3645,245692,77915,26112,8877,141,4787,22173,5348,443,53897,..,30719,7913,2396,194,582,257,249,42
,Profit before tax (NOK million),8312,849898,446600,56378,33129,1727,27714,58941,21760,1889,72090,..,73024,23821,12140,716,4314,4747,953,1643
,Ekstraordinary items (NOK million),1,-2199,0,16,0,2,-2,62,-2309,0,-5,..,82,4,-29,1,0,0,0,-22
,Tax (NOK million),1692,347696,265394,12410,12611,329,6066,13775,3343,1095,6576,..,11529,6664,3140,168,1079,281,208,1336
,Net profit (NOK million),6621,499250,181462,43236,20734,1400,21641,45140,15755,765,65491,..,61600,17152,8966,548,3235,4465,745,295
,Proposed dividends (NOK million),2473,210964,79275,25820,14320,195,9901,22293,6191,810,12418,..,18433,11974,3895,268,1187,495,452,564
,Number of enterprises,3010,210433,1094,11213,1310,635,28371,37078,8130,6596,9195,..,53652,24420,9077,2087,6218,2935,2891,2521
2013,Operating income (NOK million),64231,4943435,1147735,678664,113652,22342,391972,1296184,344995,62451,213268,..,127740,205833,161828,10363,49610,38098,12888,1581
,Revenue (NOK million),61780,4618250,1066376,671391,107555,21574,374905,1297476,285195,58926,205860,..,33466,195619,147844,8486,33135,36043,11983,636
,Operating expences (NOK million),51618,4364590,834850,649377,86595,20954,368398,1260798,311538,60868,194725,..,83443,188050,151316,9820,45679,33481,11960,1120
,Raw materials and consumables used (NOK million),23667,2255565,475855,343104,46904,8303,124505,974010,73933,14482,54963,..,12071,44396,48551,811,3982,3722,2185,121
,Payroll expence (NOK million),9437,814139,74953,134010,10634,4435,94775,135816,77520,23487,65999,..,13538,74830,52851,4796,26195,4774,5806,283
,Depreciation and write down of tangible and intangible fixed assets (NOK million),3871,232001,104270,19479,9541,1324,6926,12213,24167,1774,12371,..,17909,6370,7950,380,1583,1177,583,112
,Operating profit (NOK million),12613,578846,312886,29287,27057,1388,23574,35385,33457,1583,18542,..,44297,17783,10513,543,3931,4617,929,461
,"Income from subsidiaries, other group entities and from associates (NOK million)",2952,162362,43729,37303,11887,168,5152,8440,7863,1168,16351,..,17719,6963,1377,110,366,175,178,460
,Interest income (NOK million),1482,97147,9651,14033,3904,633,3386,6337,6672,691,29748,..,14230,2904,2362,84,335,224,163,307
,Interest expence (NOK million),3395,153457,19427,22173,10073,1220,7756,12192,17508,1231,8621,..,36977,5523,5282,120,918,379,392,270
,Write-down of financial assets (NOK million),304,68197,11665,13548,1817,34,1920,6344,6458,1712,12400,..,6919,3797,536,66,73,54,133,419
,"Financial items, net (NOK million)",5154,165920,24056,27104,2792,-22,5630,21465,-5179,396,38248,..,33074,10637,-478,204,911,152,318,1456
,Profit before tax (NOK million),17767,744766,336942,56391,29849,1366,29205,56851,28278,1980,56791,..,77371,28420,10035,747,4842,4769,1247,1916
