Years,Industries,Fixed assets ,Intangible fixed assets ,Tangible fixed assets ,Financial fixed assets ,"Investments in subsidiaries, other group companies or associated companies ","Loans to group companies, associated companies and joint ventures ",Current assets ,Inventories ,Debitors ,Accounts receivables ,Investments ,Cash and bank deposits etc ,Total assets ,Equity ,Invested equity ,Share capital ,Share premium reserve ,Retained earnings ,Liabilities ,Provisions ,Other long-term liabilities ,Liabilities to financial institutions ,Long-term liabilities to group companies ,Short-term liabilities ,Trade creditors ,Short-term liabilities to group companies ,Total equity and liabilities ,Number of enterprises
2021,Mining and quarrying,2270665,106417,999930,1164318,913864,199814,1225547,47579,781273,0,0,185992,3496213,1195880,588122,106093,388776,607758,2300333,694369,558483,67648,133131,1047481,68406,548824,3496213,1298
2021,Manufacturing,1065402,32969,164413,868020,679679,159269,576825,102244,340077,128894,27737,106767,1642227,798267,500435,106370,300815,297832,843960,32839,281494,62843,121119,529626,98207,197326,1642227,13412
2021,"Electricity, gas and steam",955064,38095,294779,622190,462349,96461,258122,1400,173716,51802,12956,70050,1213186,572284,415257,97239,288008,157027,640902,41011,316537,81929,126320,283354,28113,82894,1213186,1726
2021,"Water supply, sewerage, waste",34649,630,16116,17903,11700,5348,17860,1184,10661,4763,463,5551,52508,20487,11286,2694,5124,9201,32021,1221,16578,10158,5321,14222,3359,4170,52508,904
2021,Construction,532892,8567,141652,382673,270653,71434,493340,121554,246256,126972,27328,98203,1026232,406144,220404,37200,148439,185739,620089,14217,282798,144688,91199,323074,64541,79822,1026232,47366
2021,Wholesale and retail trade0 repair of motor vehicles and motorcycles,568705,28559,95140,445005,366023,50706,701395,182602,342385,133122,67616,108791,1270099,624925,251746,49921,163724,373180,645174,15691,145974,48881,60298,483508,151099,123356,1270099,44462
2021,Transportation and storage,931485,17534,385503,528448,399795,89499,267467,5950,145032,45107,36247,80238,1198952,575870,479391,81497,323256,96479,623082,35129,375160,194101,89612,212793,41628,65658,1198952,10060
2021,Accommodation and food service activities,99165,1898,30559,66709,53254,9924,56644,2135,29302,3718,10645,14563,155810,71203,40274,6585,20218,30929,84606,656,44737,20619,17625,39213,5417,16943,155810,11040
2021,Information and communication,1029410,68868,101495,859047,704402,128344,254263,4902,160051,47966,15506,73805,1283674,748483,576858,40356,437891,171625,535191,22380,263412,37072,95090,249398,32105,99127,1283674,17296
2021,Real estate activities,2709619,13293,1060543,1635783,1130706,331419,666017,49027,275074,25765,179059,162856,3375636,1703317,976632,134078,718556,726685,1672319,43021,1239170,647002,392777,390128,18474,198022,3375636,69756
2021,"Professional, scientific and technical activities",436061,23459,46205,366398,288009,41385,290373,6481,130583,52723,61174,92135,726434,439048,343322,38948,264159,95726,287386,6131,107887,39397,31372,173369,22133,55106,726434,41287
2021,Administrative and support service activities,311101,6899,100438,203763,156542,35655,111646,2016,70926,26255,7555,31148,422746,189936,149500,16334,101968,40437,232810,13996,112612,38234,41769,106203,16712,38481,422746,13907
2021,Education,8410,549,2989,4871,3527,627,7014,148,2765,0,0,3071,15424,7410,5098,834,3848,2312,8014,77,3312,2078,686,4624,517,1134,15424,4409
2021,Human health and social work activities,81597,5416,21564,54617,33280,16106,49007,787,23384,3783,6884,17952,130603,54862,24673,3354,15348,30189,75742,852,38895,19994,11842,35994,2511,12642,130603,10841
2021,"Arts, entertainment and recreation",30648,1654,15202,13792,9890,2235,21496,587,6490,1558,1996,12423,52144,20168,14902,3919,9669,5265,31977,488,13468,6836,1979,18020,1745,3388,52144,5756
2021,Other service activities,16136,818,4709,10609,8044,1687,11735,912,3020,977,3510,4292,27870,13481,7488,1502,4716,5993,14389,216,7130,4979,550,7043,834,1319,27870,5442
2021,Unspecified,570761,1398,28713,540651,400328,43234,146788,6752,41548,4187,58863,39625,717549,498047,377942,23248,302050,120105,219501,1553,150635,41511,73867,67314,2059,35741,717549,26805
2022,"Agriculture, forestry and fishing",398109,67824,103793,226492,154257,53999,248498,48735,137127,32026,15117,47519,646607,292397,130571,19093,89088,161826,354210,17991,181081,84640,60352,155139,41695,65565,646607,5874
2022,Mining and quarrying,2596730,227151,998729,1370850,1099093,213723,1681675,0,1113484,217780,0,211548,4278405,1533616,599983,104861,438536,933633,2744789,723365,541491,39413,129572,1479933,67426,694541,4278405,1275
2022,Manufacturing,1185586,35237,190249,960099,761490,171504,624820,132658,347981,151676,29803,114378,1810406,891903,532011,105844,308011,359893,918503,34329,309739,74794,128057,574435,115133,197587,1810406,13388
2022,"Electricity, gas and steam",1071760,54542,307064,710155,512427,137805,459187,0,279779,61432,0,129192,1530948,653719,484837,100331,348923,168882,877228,49113,344756,67960,126500,483359,36434,169946,1530948,1754
2022,"Water supply, sewerage, waste",43847,867,18681,24299,18119,4932,18612,1262,12139,4785,438,4773,62459,25656,14088,3145,7772,11568,36803,1387,19767,12892,4304,15649,3810,4493,62459,910
2022,Construction,596681,8953,154253,433476,306497,84337,541234,135232,280982,141847,26104,98916,1137915,448299,249986,37774,170738,198313,689617,13753,313683,160710,102298,362181,74004,94506,1137915,48222
2022,Wholesale and retail trade0 repair of motor vehicles and motorcycles,679027,30635,103515,544877,435868,75066,753129,221069,372525,159023,62019,97516,1432156,693412,321769,50914,218287,371644,738744,17073,189866,71491,78679,531804,175331,136279,1432156,44609
2022,Transportation and storage,1020169,13974,406605,599591,434456,130806,315775,7084,191258,52221,36398,81035,1335944,611112,498284,73230,351663,112828,724831,27713,443296,201776,134130,253822,49154,91613,1335944,10163
2022,Accommodation and food service activities,105247,1771,27391,76085,63664,9127,58427,2488,37916,4705,3068,14956,163674,75768,46041,6097,25618,29728,87906,4296,38457,21225,11820,45154,6805,18429,163674,11254
